x, y
1.7569, 0.00185
2.46154, 0.00463
3.29771, 0.01574
3.83324, 0.02315
4.40634, 0.06296
4.6882, 0.10463
5.05461, 0.15833
5.33647, 0.21296
5.60893, 0.26667
5.74046, 0.30648
5.91897, 0.36019
6.09748, 0.40833
6.29477, 0.45463
6.52026, 0.52222
6.37933, 0.49167
6.65179, 0.56204
6.83969, 0.61574
7.09336, 0.675
7.26248, 0.71852
7.43159, 0.78333
7.71345, 0.8287
7.95772, 0.88611
8.29595, 0.94444
9.00059, 1.00463
9.77099, 1.04444
10.59777, 1.04537
11.66882, 1.03519
12.42043, 1.025
12.89959, 1.00741
14.21491, 0.99537
14.88197, 0.99815
15.39871, 0.9963
13.56665, 0.99444
