x, y
0.59157, 0.00363
1.65453, 0.00545
2.50491, 0.00727
3.54015, 0.02271
4.00231, 0.04996
4.28885, 0.08085
4.48296, 0.12536
4.97285, 0.20984
5.31485, 0.27979
5.49971, 0.34883
5.76776, 0.44148
6.09128, 0.54141
6.25765, 0.5941
6.52571, 0.6813
6.78452, 0.74671
7.0156, 0.81484
7.33911, 0.88933
7.64414, 0.96472
7.46852, 0.92475
7.86597, 1.00924
8.20797, 1.05556
8.72559, 1.09644
9.31716, 1.10462
9.74235, 1.10008
10.25997, 1.07827
10.8238, 1.05829
11.5725, 1.0274
12.05315, 1.01014
12.5985, 1.00742
13.14385, 1.00197
13.76314, 0.99833
14.57655, 1.00106
