x, y
0.46216, 0.00182
1.00751, 0.00273
1.92259, 0.00636
2.72675, 0.00545
3.69728, 0.01453
4.09474, 0.03724
4.35355, 0.05723
4.64009, 0.09266
4.80647, 0.11083
5.07452, 0.15261
5.20393, 0.18441
5.35182, 0.21257
5.52744, 0.25526
5.69382, 0.28433
5.90641, 0.35519
6.08203, 0.41696
6.21144, 0.42695
6.41479, 0.48236
6.59965, 0.52597
6.78452, 0.59319
6.97863, 0.64315
7.145, 0.67494
7.32987, 0.73671
7.51473, 0.77668
7.66262, 0.79394
7.83824, 0.83028
7.97689, 0.86298
8.22646, 0.93293
8.35586, 0.94111
8.55921, 0.96836
8.70711, 0.97653
9.0491, 1.00288
9.63143, 1.04012
9.92721, 1.05102
10.19526, 1.04739
10.83304, 1.04557
11.04564, 1.04285
11.25823, 1.04466
12.30272, 1.02559
12.69093, 1.01378
13.20855, 1.0056
13.69844, 1.00742
14.40092, 1.00288
15.13114, 1.00288
